Name;zcmb;zhel;mb;e_mb;x1;e_x1;c;e_c;logMst;e_logMst;tmax;e_tmax;cov(mb,s);cov(mb,c);cov(s,c);set;RAJ2000;DEJ2000;bias
sn1996c     ;0.031;0.0296;16.647;0.143;0.659;0.128;0.064;0.029;10.309;0.122;50129.045;0.34;-0.00072;0.00081;-0.00058;3;207.74619;49.3436;-0.01
sn1997dg    ;0.03;0.0308;16.85;0.142;-0.334;0.176;-0.031;0.026;6;5;50720.336;0.287;-0.00046;0.00063;-0.00018;3;355.05921;26.20328;-0.01
sn1997do    ;0.011;0.0101;14.449;0.173;0.791;0.188;0.118;0.031;9.942;0.281;50766.598;0.116;0.00352;0.00099;0.00132;3;111.677083;47.093333;-0.008
sn1997e     ;0.014;0.0135;15.128;0.156;-1.718;0.088;0.026;0.025;11.191;0.073;50468.057;0.095;0;0.00055;-0.00024;3;101.90875;74.4975;-0.009
sn1998ab    ;0.028;0.0271;16.077;0.143;-0.109;0.127;0.039;0.03;10.789;0.146;50914.149;0.076;0.00172;0.00078;0.00077;3;192.196833;41.924528;-0.01
sn1998dx    ;0.054;0.0542;17.558;0.141;-1.597;0.284;-0.118;0.03;11.314;0.281;51071.927;0.43;-0.00077;0.00087;0.0007;3;272.799542;49.861306;-0.017
sn1998ef    ;0.018;0.0177;14.836;0.151;-1.171;0.118;-0.081;0.025;10.429;0.281;51113.763;0.099;0.00135;0.00061;0.00039;3;15.861958;32.236778;-0.009
sn1998v     ;0.017;0.0176;15.122;0.151;-0.177;0.117;0;0.025;11.003;0.182;50892.081;0.292;-0.00085;0.00062;-0.00043;3;275.655833;15.702139;-0.009
sn1999aa    ;0.016;0.0144;14.726;0.153;1.179;0.044;-0.084;0.023;10.7;0.146;51232.696;0.045;-0.00006;0.00052;-0.00017;3;126.925125;21.487444;-0.009
sn1999ac    ;0.01;0.0095;14.148;0.175;0.203;0.068;0.049;0.026;9.917;0.128;51250.611;0.079;0.00024;0.00065;-0.00015;3;241.812542;7.972333;-0.008
sn1999ao    ;0.055;0.0539;17.892;0.144;0.258;0.348;-0.02;0.037;10.363;0.281;51243.726;0.744;-0.00082;0.00148;0.00192;3;96.860833;-35.840111;-0.017
sn1999aw    ;0.039;0.038;16.774;0.14;2.022;0.127;-0.049;0.027;7.256;0.3;51254.755;0.194;0;0.00068;-0.00033;3;165.401542;-6.108778;-0.012
sn1999bp    ;0.078;0.077;18.421;0.138;0.601;0.225;-0.055;0.032;6;5;51264.287;0.233;0.00197;0.0008;0.00035;3;174.942667;-8.860389;-0.028
sn1999cc    ;0.032;0.0313;16.79;0.141;-1.61;0.075;-0.007;0.024;11.039;0.095;51315.446;0.128;-0.00007;0.00052;-0.00012;3;240.675125;37.359556;-0.011
sn1999dk    ;0.014;0.015;14.844;0.157;-0.014;0.208;0.05;0.038;10.156;0.118;51414.955;0.342;0.00097;0.00097;0.00009;3;22.862167;14.284917;-0.009
sn1999dq    ;0.014;0.0143;14.382;0.158;0.869;0.038;0.027;0.023;10.689;0.138;51436.128;0.038;-0.00005;0.00053;-0.00012;3;38.498667;20.975111;-0.009
sn1999gp    ;0.027;0.0267;16.035;0.143;1.779;0.121;-0.006;0.035;10.82;0.281;51550.788;0.127;0.00063;0.00075;-0.00052;3;37.913125;39.381194;-0.01
sn2000ca    ;0.023;0.0236;15.581;0.144;0.478;0.083;-0.097;0.024;9.418;0.281;51666.341;0.14;-0.00001;0.00053;-0.00019;3;203.84575;-34.160278;-0.009
sn2000cf    ;0.037;0.0364;17.077;0.141;-0.639;0.114;-0.028;0.026;10.173;0.281;51673.057;0.322;-0.0007;0.00071;-0.0001;3;238.234125;65.936861;-0.012
sn2000cn    ;0.024;0.0235;16.554;0.144;-2.507;0.155;0.087;0.026;10.962;0.281;51707.306;0.068;0.00086;0.00057;0.00031;3;269.418417;27.832806;-0.009
sn2000dk    ;0.017;0.0174;15.364;0.15;-2.113;0.106;-0.027;0.025;10.477;0.374;51812.387;0.098;0.00028;0.00056;-0.00003;3;16.848;32.406444;-0.009
sn2001az    ;0.04;0.0407;16.947;0.142;1.204;0.445;-0.061;0.024;10.656;0.063;52031.08;0.915;-0.0074;0.00059;0.00076;3;248.61448;76.02954;-0.012
sn2001ba    ;0.03;0.0294;16.215;0.142;0.143;0.101;-0.124;0.04;10.976;0.281;52034.361;0.147;-0.00003;0.00103;-0.00057;3;174.507333;-32.330833;-0.01
sn2001bf    ;0.016;0.0155;14.712;0.153;0.549;0.083;-0.033;0.022;10.205;0.281;52046.76;0.233;-0.00042;0.00045;-0.00024;3;270.39191;26.25051;-0.009
sn2001bt    ;0.014;0.0146;15.284;0.157;-0.865;0.069;0.163;0.027;10.921;0.281;52063.996;0.072;0.00016;0.00068;-0.00009;3;288.444792;-59.289667;-0.009
sn2001cn    ;0.015;0.0155;15.286;0.154;-0.549;0.04;0.129;0.024;10.336;0.281;52072.933;0.152;-0.00031;0.00057;-0.00025;3;281.574333;-65.761611;-0.009
sn2001cz    ;0.016;0.0154;15.048;0.153;0.167;0.069;0.041;0.024;10.697;0.281;52103.927;0.089;0;0.00055;-0.00012;3;191.875708;-39.580028;-0.009
sn2001eh    ;0.037;0.037;16.62;0.139;1.743;0.135;-0.037;0.023;11.136;0.281;52170.154;0.311;-0.00058;0.00043;-0.00068;3;24.55023;41.65526;-0.012
sn2001en    ;0.015;0.0159;15.08;0.154;-0.916;0.069;0.002;0.023;10.662;0.18;52193.363;0.327;-0.00057;0.00054;-0.00036;3;21.34523;34.02502;-0.009
sn2001ep    ;0.013;0.013;14.883;0.159;-0.925;0.057;0.047;0.021;10.286;0.14;52200.061;0.083;0.0001;0.00041;-0.00004;3;74.25145;-4.76112;-0.009
sn2001fe    ;0.015;0.0135;14.661;0.155;0.738;0.095;-0.066;0.022;10.193;0.126;52229.379;0.244;-0.00022;0.00044;-0.00036;3;144.48759;25.49468;-0.009
sn2001v     ;0.016;0.015;14.557;0.153;0.917;0.078;-0.038;0.022;10.842;0.118;51973.908;0.053;0.00057;0.00045;0.00007;3;179.353875;25.2025;-0.009
sn2002bf    ;0.025;0.0244;16.341;0.148;-0.792;0.134;0.148;0.025;10.603;0.098;52338.364;0.372;0.00151;0.00093;0.00082;3;153.926292;55.668528;-0.009
sn2002de    ;0.028;0.0281;16.657;0.142;0.542;0.319;0.097;0.023;10.806;0.066;52434.118;0.163;0.00284;0.00047;0.00209;3;244.12639;35.70836;-0.01
sn2002dp    ;0.011;0.0116;14.557;0.169;-0.316;0.184;0.054;0.023;10.47;0.364;52451.216;0.133;0.0016;0.00049;0.00102;3;352.12543;22.42724;-0.008
sn2002ha    ;0.014;0.014;14.686;0.158;-1.295;0.071;-0.093;0.023;11.114;0.154;52581.355;0.106;0.00032;0.00044;0.00001;3;311.82747;0.3126;-0.009
sn2002hd    ;0.036;0.035;16.778;0.142;-0.962;0.474;0;0.024;11.317;0.281;52576.318;0.629;-0.00456;0.00068;0.00017;3;133.51403;-7.1893;-0.011
sn2002he    ;0.025;0.0246;16.238;0.145;-1.738;0.167;-0.049;0.025;10.958;0.281;52586.205;0.108;0.00357;0.00061;0.001;3;124.99502;62.82048;-0.009
sn2002hu    ;0.038;0.038;16.644;0.139;0.515;0.089;-0.09;0.021;10.349;0.281;52592.572;0.091;0.0003;0.00038;0.00007;3;34.58345;37.46627;-0.012
sn2002jy    ;0.022;0.021;15.747;0.145;0.977;0.104;-0.035;0.022;10.587;0.134;52634.379;0.282;-0.0006;0.00043;-0.00046;3;20.31763;40.49869;-0.009
sn2002kf    ;0.02;0.0193;15.66;0.147;-0.974;0.076;-0.055;0.022;9.38;0.281;52639.563;0.281;-0.00058;0.00046;-0.00039;3;99.31368;49.85302;-0.009
sn2003ch    ;0.03;0.03;16.684;0.141;-1.233;0.147;-0.042;0.023;10.946;0.281;52726.284;0.229;-0.00035;0.00042;-0.00042;3;109.49121;9.69301;-0.01
sn2003fa    ;0.039;0.0394;16.699;0.139;1.53;0.094;-0.062;0.022;10.579;0.281;52807.526;0.067;0.0006;0.00041;0.0001;3;266.03222;40.88086;-0.012
sn2003iv    ;0.035;0.0343;16.971;0.14;-2.039;0.187;-0.089;0.026;11.029;0.281;52934.295;0.272;0.00019;0.00052;-0.00009;3;42.53018;12.84591;-0.011
sn2003u     ;0.029;0.0283;16.483;0.143;-2.09;0.294;-0.033;0.027;10.657;0.093;52677.456;0.138;0.00483;0.00063;0.00263;3;260.69011;62.16407;-0.01
sn2003w     ;0.021;0.0201;15.876;0.146;0.073;0.061;0.102;0.021;10.619;0.246;52680.425;0.058;0.00014;0.00041;-0.0001;3;146.70623;16.04383;-0.009
sn2004as    ;0.033;0.031;17.001;0.14;0.399;0.136;0.073;0.023;9.35;0.09;53086.187;0.146;0.00082;0.00045;0.00013;3;171.41327;22.83029;-0.011
sn2004eo    ;0.015;0.0157;15.065;0.154;-1.167;0.033;0.042;0.023;10.982;0.253;53278.52;0.032;-0.00005;0.00052;-0.00011;3;308.225792;9.928528;-0.009
sn2004ey    ;0.016;0.0158;14.683;0.152;0.097;0.018;-0.133;0.018;9.95;0.154;53304.54;0.022;-0.00007;0.00025;-0.00011;3;327.282532;0.444222;-0.009
sn2004gs    ;0.027;0.0267;17.153;0.141;-1.806;0.031;0.127;0.019;11.079;0.128;53355.888;0.056;-0.00004;0.00028;-0.00013;3;129.596588;17.627722;-0.01
sn2004gu    ;0.047;0.0459;17.453;0.137;1.334;0.058;0.078;0.02;10.225;0.159;53362.566;0.117;-0.00008;0.00027;-0.00024;3;191.602997;11.948916;-0.014
sn2004l     ;0.033;0.0323;17.37;0.143;-0.987;0.239;0.173;0.029;10.446;0.182;53031.303;0.675;-0.00394;0.00088;-0.00144;3;156.76719;16.01883;-0.011
sn2004s     ;0.01;0.0094;14.157;0.174;-0.117;0.083;0.022;0.025;9.709;0.281;53040.308;0.291;-0.00048;0.00066;-0.00035;3;101.43125;-31.23125;-0.008
sn2005ag    ;0.08;0.0794;18.471;0.136;0.214;0.048;-0.037;0.023;10.902;0.143;53414.898;0.085;-0.00013;0.00037;-0.0002;3;224.18187;9.328472;-0.029
sn2005al    ;0.012;0.0124;14.876;0.161;-1.181;0.028;-0.091;0.019;10.692;0.281;53430.552;0.081;-0.0001;0.00027;-0.00017;3;207.501373;-30.576166;-0.008
sn2005bg    ;0.025;0.0231;15.866;0.142;0.397;0.056;-0.033;0.019;10.157;0.164;53469.935;0.118;-0.00025;0.00027;-0.00019;3;184.321579;16.371555;-0.009
sn2005bo    ;0.014;0.0139;15.639;0.155;-1.163;0.108;0.205;0.02;10.358;0.281;53478.747;0.14;-0.00009;0.0003;-0.00003;3;192.420959;-11.096472;-0.009
sn2005el    ;0.015;0.0149;14.835;0.154;-1.282;0.032;-0.13;0.022;10.843;0.281;53646.856;0.05;0;0.00041;-0.00013;3;77.9531;5.19422;-0.009
sn2005eq    ;0.029;0.029;16.285;0.141;1.425;0.077;-0.024;0.022;10.552;0.132;53654.866;0.089;0.00017;0.0004;-0.00024;3;47.20565;-7.0334;-0.01
sn2005eu    ;0.035;0.0349;16.45;0.142;0.941;0.095;-0.087;0.03;6;5;53660.755;0.102;0.00069;0.00089;0.00014;3;36.93016;28.17686;-0.011
sn2005hc    ;0.045;0.0459;17.323;0.111;0.74;0.026;-0.028;0.012;10.554;0.046;53667.801;0.034;-0.00001;0.00011;-0.00004;2;29.199791;-0.21372;0
sn2005iq    ;0.034;0.034;16.764;0.139;-1.071;0.041;-0.113;0.019;10.6;0.281;53687.694;0.041;-0.00003;0.00027;-0.00013;3;359.63509;-18.70916;-0.011
